resource,number of links,number of mentions
mydomain,2,4
sciencedirect,1,2
lotus,1,2
digia,1,2
meiert,1,2
mysql,1,96
cpp-netlib,1,2
sailsjs,1,2
julialang,2,4
theserverside,1,2
lux-medien,1,2
easyeclipse,2,4
pythonchallenge,1,2
naval-technology,1,2
twitter,2,25
xxxrublearn,1,0
erlang,1,7
apishark,1,2
10-fast-fingers,1,2
timesofindia,2,4
python,3,271
pythonhosted,1,2
hackgnar,1,2
amazon,1,10
metacpan,7,15
facebook,3,46
stackoverflow,14,272
sqlcipher,1,5
dartlang,1,3
arshaw,1,2
learningclojure,1,2
opendnssec,2,4
myrrix,1,3
illism,1,2
intel,2,19
brisbane,1,2
lynda,1,3
scikit-learn,6,63
blogspot,2,8
rethrick,1,2
christopherirish,1,2
stackexchange,4,10
mulesoft,1,2
mean,1,276
yolinux,1,2
google,10,135
adobe,2,16
regex101,1,2
ostinelli,1,2
d20pfsrd,2,4
doctrine-project,1,2
apparatusproject,1,2
angrybirds,1,2
w3,2,30
ep,1,1514
codehaus,1,20
msgpack,1,9
sun,1,49
wikipedia,4,93
jboss,2,14
codeplex,2,8
ziggyware,1,2
localhost,5,47
asp,4,220
rubyonrails,1,6
ntu,1,151
vtc,1,2
coding-robin,1,2
davidzych,1,3
mindshare,1,2
java,2,707
buildajoomlawebsite,1,2
magentocommerce,1,2
netflix,1,5
betfair,1,2
r-project,2,9
joelonsoftware,1,3
att,1,390
politiken,1,3
highcharts,1,2
hurlman,1,4
hostzi,1,2
pastebin,1,2
apache,1,201
ng-newsletter,1,2
gtkmm,1,5
plnkr,1,2
noupe,1,2
jsfiddle,1,7
themediamall,1,2
uci,1,24
northscale,1,2
evernote,1,2
opencv,1,29
dotnetopenauth,1,2
mamp,1,2
cplusplus,2,5
durandaljs,1,2
dbpedia,1,2
highscalability,1,3
ojtwist,2,4
swagger,1,4
oreilly,1,6
pythonblogs,1,2
cuni,1,2
zenelements,1,2
formtools,1,2
berlios,1,4
vmware,1,4
d3js,1,6
blois,1,2
polymer-project,1,2
jquery,1,54
ibm,1,5
codewalkers,1,2
eclipse,1,43
freeingweb,1,2
marioplanet,1,2
example,5,620
macruby,1,3
workingwith,1,2
bris,1,5
nodejs,2,14
songho,1,2
zend,1,24
angularjs,1,14
skype,1,2
sourceforge,1,13
mirah,1,2
127.0.0.1,2,19
glprogramming,1,2
mapr,1,9
utf-8,1,9
thedailywtf,1,2
pttrns,1,2
android,3,180
roseindia,1,2
w3schools,3,13
jeantessier,2,4
wikiversity,1,2
msdn,1,35
keith-wood,2,4
readitlaterlist,1,2
altdevblogaday,1,2
dropbox,2,8
javascriptmvc,2,4
railstutorial,1,2
0.0.0.0,1,3
bitbucket,2,5
github,23,108
developerfusion,1,2
epx,1,2
tutorialspoint,1,3
nn4d,1,2
youtube,4,20
microsoft,2,47
andengine,1,2
oracle,2,13
rubyforge,1,5
transterpreter,1,2
